"ΛΑΖΑΡΟΣ";102
"ΓΕΡΑΣΙΜΟΣ";101
"ΑΧΙΛΛΕΑΣ";100
"ΣΤΕΡΓΙΟΣ";99
"ΓΛΥΚΕΡΙΑ";98
"ΔΑΦΝΗ";97
"ΕΛΛΗ";93
"ΙΦΙΓΕΝΕΙΑ";93
"ΑΝΘΗ";91
"ΖΑΧΑΡΟΥΛΑ";89
"ΑΝΔΡΙΑΝΑ";86
"ΑΡΓΥΡΙΟΣ";86
"ΘΩΜΑΗ";86
"ΣΑΒΒΑΣ";85
"ΑΡΤΕΜΙΣ";83
"ΣΤΑΜΑΤΙΟΣ";83
"ΣΤΕΦΑΝΙΑ";83
"ΝΕΚΤΑΡΙΟΣ";81
"ΒΑΣΙΛΕΙΑ";79
"ΣΤΕΡΓΙΑΝΗ";78
"ΑΛΙΚΗ";77
"ΜΕΛΠΟΜΕΝΗ";77
"ΑΙΜΙΛΙΑ";76
"ΒΙΡΓΙΝΙΑ";75
"ΣΕΒΑΣΤΗ";74
"ΠΕΛΑΓΙΑ";73
"ΕΥΜΟΡΦΙΑ";72
"ΝΙΚΟΛΙΤΣΑ";72
"ΠΑΓΩΝΑ";72
"ΚΛΕΟΠΑΤΡΑ";71
"ΠΑΣΧΑΛΗΣ";70
"ΑΛΕΞΙΟΣ";69
"ΑΓΑΘΗ";68
"ΕΥΣΤΡΑΤΙΑ";68
"ΘΕΟΦΑΝΗΣ";68
"ΛΕΜΟΝΙΑ";68
"ΠΑΡΑΣΚΕΥΑΣ";68
"ΧΡΙΣΤΟΦΟΡΟΣ";68
"ΛΟΥΚΙΑ";67
"ΜΙΛΤΙΑΔΗΣ";65
"ΝΑΤΑΛΙΑ";65
"ΠΕΡΙΚΛΗΣ";65
"ΣΤΑΜΑΤΙΝΑ";65
"ΦΙΛΙΠΠΟΣ";64
"ΑΠΟΣΤΟΛΙΑ";63
"ΔΗΜΟΣΘΕΝΗΣ";1
"ΧΑΡΙΛΑΟΣ";62
"ΘΕΟΔΟΣΙΑ";60
"ΠΑΣΧΑΛΙΑ";60
"ΑΡΓΥΡΗ";59
"ΑΣΤΕΡΙΟΣ";59
"ΑΓΑΠΗ";58
"ΘΕΑΝΩ";58
"ΑΡΙΣΤΟΤΕΛΗΣ";57
"ΣΩΚΡΑΤΗΣ";57
"ΧΑΡΑΛΑΜΠΙΑ";57
"ΕΛΠΙΝΙΚΗ";56
"ΚΑΛΛΙΡΡΟΗ";56
"ΓΑΡΥΦΑΛΛΙΑ";55
"ΔΑΝΑΗ";55
"ΖΗΣΗΣ";55
"ΜΑΡΚΟΣ";55
"ΜΥΡΤΩ";55
"ΞΑΝΘΗ";54
"ΘΕΟΧΑΡΗΣ";53
"ΠΑΝΩΡΑΙΑ";53
"ΑΓΟΡΙΤΣΑ";52
"ΗΡΑΚΛΗΣ";51
"ΧΡΙΣΤΙΑΝΑ";51
"ΑΝΔΡΙΑΝΗ";50
"ΕΜΜΑΝΟΥΕΛΑ";50
"ΖΑΧΑΡΙΑΣ";50
"ΙΟΡΔΑΝΗΣ";50
"ΧΡΥΣΑ";50
"ΑΓΝΗ";49
"ΓΑΡΥΦΑΛΙΑ";49
"ΕΥΤΕΡΠΗ";49
"ΛΟΥΚΑΣ";47
"ΧΡΥΣΟΒΑΛΑΝΤΗΣ";47
"ΘΕΜΙΣΤΟΚΛΗΣ";46
"ΠΑΣΧΑΛΙΝΑ";46
"ΠΕΤΡΟΥΛΑ";46
"ΒΑΪΟΣ";45
"ΚΟΣΜΑΣ";45
"ΧΡΥΣΑΥΓΗ";45
"ΧΑΡΟΥΛΑ";44
"ΑΚΡΙΒΗ";43
"ΕΠΑΜΕΙΝΩΝΔΑΣ";43
"ΘΑΛΕΙΑ";42
"ΧΑΪΔΩ";42
"ΧΡΥΣΟΒΑΛΑΝΤΟΥ";42
"ΔΩΡΟΘΕΑ";40
"ΕΥΑΓΓΕΛΗ";40
"ΖΗΝΟΒΙΑ";39
"ΚΛΕΟΝΙΚΗ";39
"ΣΕΡΑΦΕΙΜ";39
"ΑΡΙΑΔΝΗ";38
"ΑΣΗΜΕΝΙΑ";38
"ΘΕΟΦΙΛΟΣ";38
"ΘΕΩΝΗ";38
"ΠΕΡΣΕΦΟΝΗ";38
"ΦΛΩΡΑ";38
"ΧΡΥΣΟΣΤΟΜΟΣ";38
"ΑΝΕΣΤΗΣ";37
"ΑΡΓΥΡΟΥΛΑ";37
"ΚΑΣΣΙΑΝΗ";37
"ΑΝΑΤΟΛΗ";36
"ΜΗΝΑΣ";36
"ΣΥΜΕΩΝ";36
"ΒΕΝΕΤΙΑ";35
"ΒΙΟΛΕΤΤΑ";35
"ΕΡΑΣΜΙΑ";35
"ΜΑΤΘΑΙΟΣ";35
"ΞΑΝΘΙΠΠΗ";35
"ΑΓΓΕΛΑ";34
"ΔΙΑΜΑΝΤΩ";34
"ΙΣΜΗΝΗ";34
"ΙΩΣΗΦ";34
"ΚΛΕΙΩ";34
"ΜΕΡΟΠΗ";34
"ΠΡΟΔΡΟΜΟΣ";34
"ΜΑΛΑΜΑΤΗ";33
"ΤΡΙΑΝΤΑΦΥΛΛΟΣ";33
"ΧΡΙΣΤΟΔΟΥΛΟΣ";33
"ΔΙΑΜΑΝΤΗΣ";17
"ΙΑΚΩΒΟΣ";32
"ΜΑΡΙΛΕΝΑ";32
"ΒΑΓΙΑ";31
"ΕΡΜΙΟΝΗ";31
"ΠΑΥΛΙΝΑ";31
"ΣΑΡΑ";31
"ΜΕΤΑΞΙΑ";30
"ΝΑΥΣΙΚΑ";30
"ΞΕΝΟΦΩΝ";30
"ΤΡΥΦΩΝ";30
"ΔΗΜΟΣ";93
"ΕΥΡΥΔΙΚΗ";29
"ΛΕΥΚΟΘΕΑ";29
"ΜΥΡΣΙΝΗ";29
"ΑΡΧΟΝΤΟΥΛΑ";28
"ΓΡΗΓΟΡΙΑ";28
"ΖΑΧΑΡΕΝΙΑ";28
"ΗΛΕΚΤΡΑ";28
"ΕΥΦΗΜΙΑ";27
"ΘΕΟΔΟΣΙΟΣ";27
"ΚΑΝΕΛΛΑ";27
"ΜΑΤΙΝΑ";27
"ΠΟΛΥΧΡΟΝΗΣ";27
"ΡΕΒΕΚΚΑ";27
"ΧΑΡΙΣ";27
"ΑΛΚΙΒΙΑΔΗΣ";26
"ΜΑΡΚΕΛΛΑ";26
"ΟΔΥΣΣΕΑΣ";26
"ΣΥΜΕΛΑ";26
"ΕΥΑ";25
"ΕΥΛΑΜΠΙΑ";25
"ΕΥΡΙΠΙΔΗΣ";25
"ΘΕΟΠΙΣΤΗ";25
"ΜΕΛΙΝΑ";25
"ΠΕΡΙΣΤΕΡΑ";25
"ΣΜΑΡΑΓΔΑ";25
"ΣΜΑΡΩ";25
"ΑΡΧΟΝΤΙΑ";24
"ΘΕΟΦΑΝΗ";24
"ΛΥΔΙΑ";24
"ΜΑΡΙΕΤΤΑ";24
"ΧΑΡΑ";24
"ΧΡΥΣΟΒΑΛΑΝΤΩ";15
"ΔΑΜΙΑΝΟΣ";23
"ΔΟΜΝΑ";23
"ΕΛΕΑΝΑ";23
"ΛΟΥΪΖΑ";23
"ΜΑΡΙΝΟΣ";23
"ΣΟΝΙΑ";23
"ΕΥΠΡΑΞΙΑ";22
"ΚΡΥΣΤΑΛΛΙΑ";22
"ΜΑΡΙΚΑ";22
"ΚΛΕΑΝΘΗ";21
"ΚΟΡΝΗΛΙΑ";21
"ΟΡΕΣΤΗΣ";21
"ΡΟΔΑΝΘΗ";21
"ΗΡΩ";20
"ΚΩΣΤΟΥΛΑ";20
"ΑΒΡΑΑΜ";19
"ΕΛΕΝΑ";19
"ΜΕΝΕΛΑΟΣ";19
"ΝΙΚΗΤΑΣ";19
"ΠΑΝΑΓΟΥΛΑ";19
"ΒΛΑΣΙΟΣ";18
"ΓΡΑΜΜΑΤΙΚΗ";18
"ΕΥΡΙΔΙΚΗ";18
"ΙΣΙΔΩΡΑ";18
"ΤΑΤΙΑΝΗ";18
"ΑΝΝΕΤΑ";17
"ΓΑΒΡΙΗΛ";17
"ΖΑΦΕΙΡΙΑ";17
"ΗΡΑ";17
"ΚΡΥΣΤΑΛΛΕΝΙΑ";17
"ΜΑΙΡΗ";17
"ΝΙΚΟΛΙΝΑ";17
"ΞΑΝΘΟΥΛΑ";17
"ΠΑΡΘΕΝΟΠΗ";17
"ΣΤΑΜΑΤΟΥΛΑ";17
"ΣΥΛΒΙΑ";17
"ΤΑΤΙΑΝΑ";17
"ΤΗΛΕΜΑΧΟΣ";17
"ΤΡΙΑΔΑ";17
"ΑΝΑΡΓΥΡΟΣ";16
"ΓΑΛΑΤΕΙΑ";16
"ΓΕΣΘΗΜΑΝΗ";16
"ΕΥΣΕΒΙΑ";16
"ΘΩΜΑΪΣ";16
"ΙΟΡΔΑΝΑ";16
"ΚΛΕΑΝΘΗΣ";16
"ΛΗΔΑ";16
"ΜΑΛΑΜΑΤΕΝΙΑ";16
"ΡΕΓΓΙΝΑ";16
"ΡΩΞΑΝΗ";16
"ΑΛΚΜΗΝΗ";15
"ΗΛΙΑΝΝΑ";15
"ΙΣΙΔΩΡΟΣ";15
"ΜΕΡΣΙΝΗ";15
"ΝΙΝΑ";15
"ΠΗΓΗ";15
"ΠΟΛΥΤΙΜΗ";15
"ΡΟΥΜΠΙΝΗ";15
"ΦΡΕΙΔΕΡΙΚΗ";15
"ΑΓΟΡΗ";14
"ΒΑΪΤΣΑ";14
"ΒΗΣΣΑΡΙΩΝ";14
"ΕΛΕΑΝΝΑ";14
"ΕΛΕΟΝΩΡΑ";14
"ΘΕΟΠΟΥΛΑ";14
"ΘΕΟΦΑΝΙΑ";14
"ΙΩΑΚΕΙΜ";14
"ΜΑΚΡΙΝΑ";14
"ΜΙΧΑΕΛΑ";14
"ΝΙΚΟΛΙΑ";14
"ΠΑΡΙΣ";14
"ΠΟΛΥΜΝΙΑ";14
"ΠΡΟΚΟΠΙΟΣ";14
"ΣΟΦΟΚΛΗΣ";14
"ΤΣΑΜΠΙΚΑ";14
"ΦΑΙΔΡΑ";14
"ΑΡΗΣ";13
"ΑΡΤΕΜΗΣΙΑ";13
"ΓΙΑΣΕΜΗ";13
"ΓΚΟΛΦΩ";13
"ΖΑΦΕΙΡΩ";13
"ΘΕΟΦΑΝΩ";13
"ΚΑΛΟΜΟΙΡΑ";13
"ΚΑΛΥΨΩ";13
"ΚΕΡΑΣΙΑ";13
"ΜΑΛΑΜΑ";13
"ΝΑΤΑΣΑ";13
"ΦΕΒΡΩΝΙΑ";13
"ΑΙΚΑΤΕΡΙΝΑ";12
"ΑΡΙΣΤΟΜΕΝΗΣ";12
"ΒΑΛΑΣΙΑ";12
"ΒΑΛΕΝΤΙΝΑ";12
"ΓΑΛΗΝΗ";12
"ΕΥΡΩΠΗ";12
"ΖΑΦΕΙΡΟΥΛΑ";12
"ΖΑΧΑΡΩ";12
"ΖΩΓΡΑΦΙΑ";12
"ΙΓΝΑΤΙΟΣ";12
"ΜΑΡΙ";12
"ΦΙΛΙΤΣΑ";12
"ΑΔΑΜ";116
"ΑΥΓΗ";11
"ΒΑΛΕΝΤΙΝΗ";11
"ΒΕΑΤΡΙΚΗ";11
"ΒΙΚΤΩΡ";11
"ΓΕΡΑΣΙΜΟΥΛΑ";11
"ΕΥΓΕΝΙΟΣ";11
"ΚΟΝΔΥΛΙΑ";11
"ΚΟΡΙΝΑ";11
"ΝΑΠΟΛΕΩΝ";11
"ΣΜΑΡΑΓΔΗ";11
"ΣΟΥΜΕΛΑ";11
"ΧΡΙΣΤΙΑΝΝΑ";11
"ΑΓΑΜΕΜΝΩΝ";10
"ΑΓΗΣΙΛΑΟΣ";10
"ΑΛΚΗΣΤΙΣ";10
"ΑΡΧΟΝΤΩ";10
"ΑΣΗΜΩ";10
"ΒΕΡΑ";10
"ΒΗΘΛΕΕΜ";10
"ΓΕΝΟΒΕΦΑ";10
"ΓΡΑΜΜΑΤΗ";10
"ΔΙΑΜΑΝΤΟΥΛΑ";10
"ΕΡΙΦΥΛΗ";10
"ΗΣΑΪΑ";10
"ΘΕΟΛΟΓΙΑ";10
"ΘΕΟΧΑΡΟΥΛΑ";10
"ΜΕΛΑΝΙΑ";10
"ΜΥΡΟΦΟΡΑ";10
"ΠΑΝΔΩΡΑ";10
"ΡΟΔΗ";10
"ΡΟΖΑΛΙΑ";10
"ΣΕΒΑΣΤΙΑ";10
"ΣΙΔΕΡΗ";10
"ΣΤΑΜΑΤΙΚΗ";10
"ΤΑΞΙΑΡΧΟΥΛΑ";10
"ΤΡΙΣΕΥΓΕΝΗ";10
"ΑΝΤΙΟΠΗ";9
"ΑΡΙΣΤΟΥΛΑ";9
"ΑΣΗΜΑΚΗΣ";9
"ΔΗΜΗΤΡΙΑ";9
"ΕΡΑΤΩ";9
"ΖΑΦΕΙΡΙΟΣ";9
"ΘΡΑΣΥΒΟΥΛΟΣ";9
"ΙΑΣΩΝ";9
"ΙΣΑΑΚ";9
"ΚΡΥΣΤΑΛΙΑ";9
"ΚΡΥΣΤΑΛΛΩ";9
"ΜΙΧΑΛΙΤΣΑ";9
"ΝΕΣΤΩΡ";9
"ΡΟΔΟΥΛΑ";9
"ΣΗΜΕΛΑ";9
"ΣΟΥΖΑΝΑ";9
"ΣΠΗΛΙΟΣ";9
"ΣΤΡΑΤΗΓΟΥΛΑ";9
"ΤΑΞΙΑΡΧΗΣ";9
"ΤΕΡΕΖΑ";9
"ΦΑΝΟΥΛΑ";9
"ΦΙΛΙΑ";9
"ΦΙΛΙΩ";9
"ΦΡΑΝΤΖΕΣΚΑ";9
"ΧΑΡΙΔΗΜΟΣ";9
"ΧΑΡΙΤΩΜΕΝΗ";9
"ΑΣΗΜΟΥΛΑ";8
"ΒΕΡΟΝΙΚΑ";8
"ΒΥΡΩΝ";8
"ΔΙΟΓΕΝΗΣ";8
"ΔΡΟΣΟΥΛΑ";8
"ΖΑΜΠΙΑ";8
"ΘΕΟΛΟΓΟΣ";8
"ΘΕΟΝΥΜΦΗ";8
"ΙΠΠΟΚΡΑΤΗΣ";8
"ΚΩΝΣΤΑΝΤΟΥΛΑ";8
"ΛΑΣΚΑΡΙΝΑ";8
"ΜΑΝΘΑ";8
"ΜΑΡΟΥΛΑ";8
"ΝΑΟΥΜ";8
"ΝΕΟΦΥΤΟΣ";8
"ΝΕΡΑΝΤΖΟΥΛΑ";8
"ΝΙΚΟΛ";8
"ΠΑΝΤΕΛΙΑ";8
"ΠΟΛΥΒΙΟΣ";8
"ΠΟΛΥΚΑΡΠΟΣ";8
"ΡΗΓΑΣ";8
"ΣΑΒΒΟΥΛΑ";8
"ΣΩΣΑΝΝΑ";8
"ΦΙΛΟΜΗΛΑ";8
"ΦΡΑΓΚΙΣΚΟΣ";8
"ΧΡΙΣΤΙΝΗ";8
"ΑΝΔΡΕΑΝΑ";7
"ΑΝΘΙΜΟΣ";7
"ΒΑΣΩ";7
"ΒΕΡΟΝΙΚΗ";7
"ΓΕΡΑΚΙΝΑ";7
"ΔΙΑΜΑΝΤΙΝΑ";7
"ΔΟΜΝΙΚΗ";7
"ΕΛΕΩΝΟΡΑ";7
"ΕΛΛΑΔΑ";7
"ΕΥΧΑΡΙΣ";7
"ΘΕΟΦΑΝΕΙΑ";7
"ΙΛΙΑΝΑ";7
"ΚΑΣΣΑΝΔΡΑ";7
"ΚΥΡΑ";7
"ΛΕΥΚΗ";7
"ΛΥΓΕΡΗ";7
"ΜΑΡΓΑΡΙΤΗΣ";7
"ΜΑΡΙΓΩ";7
"ΜΕΛΕΤΙΟΣ";7
"ΜΥΡΩΝ";7
"ΝΙΟΒΗ";7
"ΠΑΝΑΓΙΟΥΛΑ";7
"ΠΑΡΑΣΧΟΣ";7
"ΡΑΧΗΛ";7
"ΡΟΖΑ";7
"ΣΙΜΕΛΑ";7
"ΣΙΜΩΝ";7
"ΣΥΡΜΩ";7
"ΤΕΡΨΙΘΕΑ";7
"ΦΙΛΟΜΕΝΗ";7
"ΧΑΡΙΤΩ";7
"ΑΓΓΕΛΙΝΑ";6
"ΑΝΘΙΑ";6
"ΑΠΟΣΤΟΛΙΝΑ";6
"ΒΗΣΣΑΡΙΑ";6
"ΓΙΟΛΑΝΤΑ";6
"ΔΙΑΛΕΧΤΗ";6
"ΔΡΟΣΙΑ";6
"ΕΙΡΗΝΑΙΟΣ";6
"ΕΛΙΖΑ";6
"ΕΡΣΗ";6
"ΕΥΤΥΧΙΟΣ";6
"ΖΗΣΙΜΟΣ";6
"ΖΩΓΡΑΦΩ";6
"ΙΛΙΑΔΑ";6
"ΙΡΙΣ";6
"ΚΑΡΟΛΙΝΑ";6
"ΚΙΜΩΝ";6
"ΚΛΑΙΡΗ";6
"ΚΟΡΑΛΙΑ";6
"ΚΡΙΣΤΙ";6
"ΚΡΥΣΤΑΛΛΗ";6
"ΛΑΟΥΡΑ";6
"ΛΕΛΟΥΔΑ";6
"ΛΗΤΩ";6
"ΛΥΚΟΥΡΓΟΣ";6
"ΜΑΡΟΥΣΑ";6
"ΜΗΛΙΑ";6
"ΠΑΡΕΣΑ";6
"ΠΑΡΘΕΝΙΑ";6
"ΠΑΤΡΑ";6
"ΠΑΤΡΟΥΛΑ";6
"ΡΟΔΙΑ";6
"ΣΑΠΦΩ";6
"ΣΕΡΓΙΟΣ";6
"ΣΟΥΣΑΝΑ";6
"ΣΤΑΜΑΤΑ";6
"ΣΥΝΟΔΗ";6
"ΤΙΜΟΛΕΩΝ";6
"ΦΙΛΑΡΕΤΗ";6
"ΦΙΛΟΘΕΗ";6
"ΦΛΩΡΕΝΤΙΑ";6
"ΧΑΡΙΤΙΝΗ";6
"ΩΡΑΙΟΖΗΛΗ";6
"ΑΙΜΙΛΙΟΣ";5
"ΑΛΚΙΝΟΗ";5
"ΑΜΥΓΔΑΛΙΑ";5
"ΑΝΔΡΟΝΙΚΟΣ";5
"ΑΝΘΙΠΠΗ";5
"ΑΡΙΣΤΟΓΕΙΤΩΝ";5
"ΑΡΣΕΝΙΟΣ";5
"ΑΣΤΕΡΙΑ";5
"ΒΕΛΙΣΣΑΡΙΑ";5
"ΒΙΛΕΛΜΙΝΗ";5
"ΔΑΝΙΗΛ";5
"ΕΚΤΩΡ";5
"ΕΛΒΙΡΑ";5
"ΕΡΙΦΙΛΗ";5
"ΕΡΜΙΝΑ";5
"ΕΥΛΑΛΙΑ";5
"ΕΥΜΟΡΦΙΛΗ";5
"ΕΥΡΥΚΛΕΙΑ";5
"ΕΦΗ";5
"ΖΑΦΕΙΡΑ";5
"ΖΗΝΩΝ";5
"ΘΕΚΛΑ";5
"ΘΕΟΓΝΩΣΙΑ";5
"ΘΕΟΔΟΤΑ";5
"ΘΕΟΚΛΗΤΟΣ";5
"ΚΛΕΑΡΧΟΣ";5
"ΚΛΕΟΜΕΝΗΣ";5
"ΚΛΗΜΗΣ";5
"ΚΥΒΕΛΗ";5
"ΜΑΝΟΥΕΛΑ";5
"ΜΑΝΟΥΣΟΣ";5
"ΜΑΝΩΛΙΑ";5
"ΜΟΣΧΟΥΛΑ";5
"ΞΕΝΗ";5
"ΠΑΝΤΕΛΙΤΣΑ";5
"ΠΙΠΙΝΑ";5
"ΠΟΛΥΧΡΟΝΙΑ";5
