N,Algorithm,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Mean,Stdev
100,"NLTK (improved)",1.0881369113922,1.1907179355621,1.0692629814148,1.180223941803,1.067351102829,1.1823570728302,1.073392868042,1.1867110729218,1.336305141449,0.9384229183197,1.13128819465638,0.107488640937235
100,NlpTools,0.57949590682983,0.29400300979614,0.49899506568909,0.49767994880676,0.44239592552185,0.48083806037903,0.55288600921631,0.51852607727051,0.3511860370636,0.2972719669342,0.451327800750732,0.10281630204755
200,"NLTK (improved)",2.048003911972,1.9355089664459,1.8986439704895,1.7794301509857,1.9485919475555,1.9999268054962,1.9925849437714,2.0205569267273,1.9970109462738,1.9908728599548,1.96111314296721,0.0770845842229525
200,NlpTools,1.3812880516052,1.1639361381531,1.3326201438904,1.6284959316254,1.5422439575195,1.2928290367126,1.3071649074554,1.1798930168152,1.3204770088196,1.4173481464386,1.3566296339035,0.145077027317076
300,"NLTK (improved)",4.5709869861603,4.5380668640137,4.9806108474731,4.9321939945221,4.9032008647919,5.5026869773865,5.1416549682617,4.9261269569397,4.8500471115112,4.6970291137695,4.90426046848297,0.281387880935075
300,NlpTools,2.8984060287476,2.877140045166,3.0081820487976,3.0377609729767,3.1049609184265,2.9792730808258,2.9294168949127,2.9129228591919,3.1735379695892,2.8979151248932,2.98195159435272,0.0989942997238907
400,"NLTK (improved)",9.3411300182343,9.1252179145813,9.2063989639282,9.7505359649658,9.3037488460541,9.7703371047974,9.6413950920105,9.1514389514923,9.3045740127563,9.245356798172,9.38401336669922,0.24409939885685
400,NlpTools,5.0639259815216,5.3548350334167,5.1589179039001,5.1744470596313,5.2738070487976,5.1504991054535,5.0647208690643,5.252454996109,5.0191919803619,5.0552771091461,5.15680770874021,0.109929786285986
500,"NLTK (improved)",18.63560795784,19.00883603096,18.446465015411,18.225467920303,18.054067134857,17.912139892578,17.597486019135,18.476844072342,18.218312978745,17.870614051819,18.244584107399,0.413406211118914
500,NlpTools,7.9237639904022,7.9969630241394,7.6586949825287,8.2002120018005,8.0786099433899,8.2404420375824,8.5374350547791,8.2764070034027,8.6582479476929,7.8706910610199,8.14414670467377,0.304385120991454
600,"NLTK (improved)",31.576608896255,31.04442191124,32.194860935211,30.515294075012,29.969586133957,30.241052150726,31.105980873108,30.712187051773,31.012069940567,30.122848987579,30.8494910955428,0.688953853024921
600,NlpTools,11.757314920425,11.540503978729,11.640916824341,11.971403121948,11.857468128204,11.667675971985,11.723719120026,11.804192066193,11.872565031052,11.465087175369,11.7300846338272,0.156007823110881
700,"NLTK (improved)",45.940001010895,47.129327058792,47.141546010971,47.810697793961,46.850303173065,46.985852003098,46.06421995163,46.041455030441,47.060953140259,46.8782081604,46.7902563333512,0.597524158071097
700,NlpTools,15.550418138504,16.410557985306,16.077100038528,16.209640979767,16.085723876953,15.812442064285,15.712746858597,15.910924911499,16.440850973129,16.277626991272,16.048803281784,0.298358377059263
